step,transaction_id,transaction_type,channel,device_type,network_provider,time_of_day,day_of_week,amount,customer_id,customer_type,customer_region,old_balance,new_balance,recipient_id,recipient_type,recipient_region,recipient_old_balance,recipient_new_balance,isFraud,isFlaggedFraud
712,T269061,CASH_IN,API,FeaturePhone,AirtelTigo,Morning,Thursday,20802.81,C1579055539,Government,Upper East,76034.18,55231.369999999995,R3105962154,Individual,Central,38023.27,58826.08,0,0
417,T262060,UTILITY_PAYMENT,App,Android,Vodafone,Evening,Tuesday,50608.49,C6347685808,Merchant,Greater Accra,43899.01,0.0,R7102211781,Individual,Upper East,27056.32,77664.81,0,0
708,T977944,CASH_OUT,App,iOS,MTN,Night,Friday,67428.88,C9159005428,Government,Northern,2256.22,0.0,R8148953034,Individual,Upper East,24686.47,92115.35,1,1
471,T745627,TRANSFER,API,Android,AirtelTigo,Night,Sunday,19705.16,C5284631450,Merchant,Ashanti,1922.55,0.0,R7544331855,Agent,Western,11343.68,31048.84,1,0
573,T830532,CASH_OUT,API,iOS,MTN,Night,Sunday,87765.64,C7170940238,Merchant,Greater Accra,2119.45,0.0,R7744459607,Merchant,Upper West,36052.18,123817.82,1,1
469,T804314,TRANSFER,USSD,FeaturePhone,MTN,Night,Friday,75018.38,C8086172302,Agent,Central,167.61,0.0,R7517938612,Merchant,Ashanti,48432.6,123450.98000000001,1,1
548,T469124,CASH_OUT,API,Android,MTN,Night,Wednesday,32737.47,C4226726995,Merchant,Upper East,1033.49,0.0,R7868720188,Individual,Central,32609.54,65347.01,1,1
123,T695847,TRANSFER,API,FeaturePhone,AirtelTigo,Afternoon,Tuesday,6462.46,C5701088207,Agent,Northern,25330.46,18868.0,R7108154700,Agent,Ashanti,31886.96,38349.42,0,0
201,T800695,CASH_OUT,USSD,iOS,MTN,Night,Saturday,11558.05,C3265977202,Individual,Upper East,1753.33,0.0,R7776963271,Agent,Eastern,49463.03,61021.08,1,0
576,T428629,CASH_OUT,USSD,FeaturePhone,Vodafone,Morning,Saturday,52793.14,C1891666140,Individual,Eastern,92324.97,39531.83,R4528534164,Individual,Greater Accra,33584.84,86377.98,0,0
398,T655123,REVERSAL,Agent,Android,Vodafone,Night,Tuesday,54706.03,C4445256330,Government,Eastern,94855.74,40149.71000000001,R2391498451,Merchant,Eastern,11840.44,66546.47,0,0
408,T774059,CASH_OUT,Agent,FeaturePhone,Vodafone,Night,Tuesday,64808.28,C1692935438,Merchant,Eastern,94178.6,29370.320000000007,R3567555234,Individual,Greater Accra,11141.44,75949.72,0,0
519,T507374,TRANSFER,API,Android,MTN,Night,Sunday,92765.43,C8642862275,Government,Northern,2486.59,0.0,R3809184791,Government,Eastern,44764.74,137530.16999999998,1,1
329,T905312,TRANSFER,App,iOS,AirtelTigo,Night,Monday,17629.73,C1948039639,Government,Eastern,2870.15,0.0,R5419054626,Government,Western,46971.22,64600.95,1,0
495,T388465,TRANSFER,Agent,iOS,AirtelTigo,Night,Sunday,71927.23,C4526452373,Government,Ashanti,1081.36,0.0,R5747511450,Merchant,Eastern,639.81,72567.04,1,1
296,T855018,REVERSAL,USSD,Android,Vodafone,Night,Wednesday,48754.97,C9238201923,Merchant,Greater Accra,87178.43,38423.45999999999,R5838281458,Merchant,Northern,91.22,48846.19,0,0
185,T958285,TRANSFER,USSD,Android,MTN,Afternoon,Saturday,62261.28,C7209557309,Merchant,Northern,69174.1,6912.820000000007,R2384019055,Government,Upper West,42549.32,104810.6,0,0
540,T216771,CASH_IN,Agent,Android,Vodafone,Evening,Monday,3034.13,C7126765607,Government,Northern,79871.5,76837.37,R7908593430,Individual,Ashanti,11132.51,14166.64,0,0
729,T535037,TRANSFER,App,FeaturePhone,AirtelTigo,Night,Monday,99069.84,C3812868150,Agent,Central,1746.63,0.0,R8875651818,Individual,Upper East,49566.4,148636.24,1,1
488,T617255,TRANSFER,Agent,FeaturePhone,Vodafone,Morning,Thursday,76199.1,C9896921381,Merchant,Western,93322.77,17123.67,R1977830234,Individual,Northern,26325.11,102524.21,0,0
574,T793390,TRANSFER,API,iOS,MTN,Night,Thursday,12024.99,C6499884316,Merchant,Ashanti,974.08,0.0,R3073207837,Agent,Central,3065.19,15090.18,1,0
529,T988525,AIRTIME,API,Android,MTN,Evening,Monday,26811.13,C9031861084,Individual,Ashanti,99662.32,72851.19,R5542698809,Individual,Eastern,46775.83,73586.96,0,0
579,T140316,TRANSFER,Agent,Android,MTN,Night,Thursday,15223.29,C4310818259,Merchant,Upper West,2456.72,0.0,R8007402185,Individual,Northern,11141.75,26365.04,1,0
95,T648102,TRANSFER,USSD,iOS,Vodafone,Night,Thursday,88897.64,C1413599241,Agent,Northern,1345.84,0.0,R1504729135,Government,Upper East,44059.87,132957.51,1,1
111,T389809,TRANSFER,Agent,FeaturePhone,MTN,Night,Monday,28964.64,C8599339588,Merchant,Upper West,1498.64,0.0,R8602605839,Agent,Greater Accra,10319.34,39283.979999999996,1,1
315,T475125,CASH_OUT,API,Android,Vodafone,Night,Thursday,73765.7,C2749681616,Individual,Central,2774.61,0.0,R1999219424,Individual,Northern,17192.79,90958.48999999999,1,1
195,T882458,REVERSAL,API,iOS,MTN,Morning,Sunday,86311.18,C6123304685,Merchant,Volta,72966.15,0.0,R1233435016,Merchant,Western,4782.14,91093.31999999999,0,0
447,T273797,CASH_OUT,App,Android,AirtelTigo,Night,Saturday,72992.39,C7267416495,Agent,Upper West,1620.65,0.0,R8896914305,Government,Greater Accra,15414.0,88406.39,1,1
268,T773870,TRANSFER,App,Android,Vodafone,Night,Saturday,60256.88,C3258354191,Individual,Northern,504.78,0.0,R4413838650,Merchant,Eastern,21169.34,81426.22,1,1
219,T445217,TRANSFER,Agent,iOS,Vodafone,Night,Friday,62811.12,C2334901018,Government,Northern,108.35,0.0,R1415435433,Individual,Ashanti,10435.02,73246.14,1,1
208,T953196,CASH_OUT,Agent,Android,AirtelTigo,Night,Friday,92771.35,C3306439959,Individual,Western,1205.29,0.0,R9315275246,Merchant,Eastern,80.28,92851.63,1,1
365,T521488,AIRTIME,App,iOS,MTN,Morning,Monday,67598.9,C9855187061,Government,Ashanti,2593.28,0.0,R9180786149,Government,Upper West,46571.68,114170.57999999999,0,0
710,T146290,CASH_OUT,USSD,FeaturePhone,Vodafone,Night,Saturday,18730.94,C3573594440,Individual,Ashanti,652.87,0.0,R9601941558,Merchant,Greater Accra,17428.93,36159.869999999995,1,0
603,T417414,CASH_OUT,App,Android,Vodafone,Night,Saturday,71032.13,C2634970014,Government,Northern,1572.37,0.0,R9179914762,Agent,Upper East,48874.6,119906.73000000001,1,1
236,T343420,TRANSFER,Agent,FeaturePhone,MTN,Night,Thursday,13088.65,C4602080228,Government,Western,1606.39,0.0,R8617360361,Government,Central,19471.73,32560.379999999997,1,0
37,T771652,CASH_OUT,Agent,FeaturePhone,MTN,Night,Wednesday,39881.11,C3645901955,Government,Upper West,113.09,0.0,R2191714875,Government,Greater Accra,37315.69,77196.8,1,1
680,T684610,TRANSFER,USSD,Android,AirtelTigo,Night,Tuesday,34339.86,C7420362322,Merchant,Western,2454.64,0.0,R1259025044,Government,Volta,15489.48,49829.34,1,1
319,T853592,CASH_OUT,API,FeaturePhone,AirtelTigo,Afternoon,Tuesday,62110.9,C3839322918,Merchant,Northern,26073.48,0.0,R8537896365,Government,Western,37417.78,99528.68,0,0
566,T308651,TRANSFER,App,Android,MTN,Night,Monday,66470.14,C8318883321,Agent,Upper East,2858.86,0.0,R1099378302,Individual,Western,48159.39,114629.53,1,1
383,T731046,TRANSFER,Agent,iOS,Vodafone,Night,Friday,82942.7,C4237798212,Merchant,Greater Accra,722.1,0.0,R9249854566,Government,Greater Accra,1582.61,84525.31,1,1
60,T918922,CASH_OUT,Agent,iOS,MTN,Morning,Wednesday,2322.93,C6773485372,Agent,Eastern,68480.89,66157.96,R2070273131,Individual,Western,31391.22,33714.15,0,0
54,T410415,TRANSFER,Agent,FeaturePhone,MTN,Evening,Wednesday,14013.32,C7723800341,Government,Ashanti,29930.08,15916.760000000002,R3822966125,Merchant,Eastern,45540.22,59553.54,0,0
273,T178024,REVERSAL,Agent,FeaturePhone,AirtelTigo,Morning,Sunday,54083.95,C6032713922,Government,Northern,4732.83,0.0,R1688923347,Merchant,Upper West,28183.12,82267.06999999999,0,0
608,T181103,TRANSFER,API,iOS,Vodafone,Evening,Friday,26255.34,C2314568974,Individual,Eastern,19227.13,0.0,R3945654437,Government,Central,19217.38,45472.72,0,0
701,T918855,CASH_OUT,App,iOS,Vodafone,Night,Saturday,21325.2,C7724287042,Agent,Upper West,2153.73,0.0,R8162102928,Merchant,Greater Accra,26192.01,47517.21,1,1
400,T795804,TRANSFER,App,FeaturePhone,MTN,Night,Thursday,10320.23,C7537228950,Government,Western,250.07,0.0,R9180203758,Agent,Greater Accra,21955.22,32275.45,1,0
242,T764678,CASH_OUT,USSD,FeaturePhone,MTN,Afternoon,Friday,67733.9,C4057828676,Government,Volta,79668.81,11934.910000000003,R3358506487,Government,Ashanti,39299.78,107033.68,0,0
269,T862693,TRANSFER,USSD,Android,AirtelTigo,Night,Wednesday,46001.2,C5614299531,Individual,Eastern,2872.28,0.0,R6735229466,Merchant,Volta,21827.22,67828.42,1,1
32,T883992,REVERSAL,Agent,FeaturePhone,AirtelTigo,Morning,Tuesday,47889.71,C4472135436,Individual,Upper West,56031.29,8141.580000000002,R7862229954,Government,Upper East,44809.25,92698.95999999999,0,0
591,T749908,CASH_IN,API,Android,MTN,Evening,Thursday,11307.31,C9483055589,Government,Western,61193.26,49885.950000000004,R6704320865,Agent,Greater Accra,40473.46,51780.77,0,0
129,T868687,CASH_IN,API,FeaturePhone,MTN,Night,Saturday,71800.79,C7801297060,Individual,Greater Accra,94550.96,22750.170000000013,R4802927858,Agent,Upper West,31418.25,103219.04,0,0
514,T551538,CASH_OUT,API,Android,Vodafone,Night,Monday,53689.65,C1973627242,Individual,Upper East,874.06,0.0,R3413691946,Merchant,Upper East,9584.51,63274.16,1,1
598,T218661,CASH_OUT,API,iOS,MTN,Night,Tuesday,53784.6,C7787202740,Individual,Western,107.02,0.0,R1343868435,Agent,Greater Accra,32108.97,85893.57,1,1
89,T676103,REVERSAL,Agent,Android,MTN,Night,Saturday,61119.08,C3142057672,Agent,Central,8243.05,0.0,R2345280810,Merchant,Upper West,12205.47,73324.55,0,0
15,T900345,CASH_OUT,Agent,iOS,Vodafone,Night,Saturday,33281.23,C7524368542,Merchant,Eastern,1075.86,0.0,R6864443882,Individual,Western,18401.89,51683.12,1,1
688,T234927,UTILITY_PAYMENT,USSD,FeaturePhone,AirtelTigo,Evening,Tuesday,13366.61,C3159350585,Individual,Central,89762.67,76396.06,R7114620462,Agent,Northern,18378.52,31745.13,0,0
293,T312186,CASH_OUT,API,Android,MTN,Night,Monday,95256.2,C9487551059,Merchant,Eastern,2020.42,0.0,R6559524388,Agent,Greater Accra,1321.94,96578.14,1,1
214,T490943,REVERSAL,Agent,Android,AirtelTigo,Afternoon,Friday,1252.78,C9385174714,Government,Upper West,73065.51,71812.73,R5798941961,Individual,Greater Accra,19642.72,20895.5,0,0
577,T848257,CASH_OUT,Agent,Android,MTN,Afternoon,Monday,34310.34,C3491255353,Individual,Ashanti,54477.01,20166.670000000006,R1705325439,Individual,Upper West,30865.87,65176.20999999999,0,0
575,T146073,CASH_OUT,App,Android,MTN,Night,Friday,59681.79,C6233679020,Agent,Greater Accra,1909.34,0.0,R7867090481,Individual,Volta,37187.89,96869.68,1,1
316,T302907,REVERSAL,App,FeaturePhone,AirtelTigo,Evening,Wednesday,84136.48,C4738813260,Individual,Upper West,93217.28,9080.800000000003,R9602382077,Individual,Central,32772.08,116908.56,0,0
430,T102074,REVERSAL,App,Android,Vodafone,Evening,Tuesday,81696.56,C6711813678,Merchant,Northern,23286.78,0.0,R1585681834,Merchant,Northern,43410.3,125106.86,0,0
552,T156978,CASH_OUT,USSD,FeaturePhone,AirtelTigo,Night,Sunday,40463.97,C9119587751,Government,Greater Accra,1240.85,0.0,R1622518030,Individual,Northern,34099.87,74563.84,1,1
18,T329725,TRANSFER,USSD,FeaturePhone,AirtelTigo,Evening,Monday,41772.43,C6730436450,Merchant,Volta,68636.8,26864.370000000003,R5226916009,Government,Upper West,27639.55,69411.98,0,0
402,T518309,TRANSFER,App,FeaturePhone,Vodafone,Night,Sunday,63513.54,C8821456242,Individual,Ashanti,293.11,0.0,R9916475897,Agent,Upper West,49102.0,112615.54000000001,1,1
565,T403694,TRANSFER,Agent,FeaturePhone,AirtelTigo,Night,Thursday,54048.1,C6347504201,Government,Ashanti,27988.99,0.0,R4178662525,Merchant,Northern,21404.64,75452.73999999999,0,0
613,T349825,TRANSFER,Agent,iOS,Vodafone,Night,Friday,81891.73,C8087762657,Merchant,Central,2977.58,0.0,R2649479425,Individual,Greater Accra,8653.1,90544.83,1,1
42,T117728,TRANSFER,API,Android,AirtelTigo,Night,Tuesday,20154.84,C3879884113,Agent,Ashanti,2863.57,0.0,R5229537468,Agent,Northern,36189.13,56343.97,1,1
345,T247462,AIRTIME,USSD,iOS,MTN,Night,Saturday,82839.13,C2093136086,Individual,Western,81946.39,0.0,R9790024383,Merchant,Eastern,1051.89,83891.02,0,0
458,T857979,CASH_OUT,USSD,Android,MTN,Night,Friday,66749.97,C6915831426,Government,Upper West,2700.61,0.0,R9293625508,Agent,Upper West,35677.28,102427.25,1,1
618,T518458,TRANSFER,USSD,Android,AirtelTigo,Night,Sunday,47320.73,C2367291673,Government,Volta,54019.03,6698.299999999996,R7202617230,Merchant,Eastern,27458.26,74778.99,0,0
376,T344497,CASH_OUT,USSD,iOS,Vodafone,Night,Saturday,19041.42,C2151083277,Government,Greater Accra,1545.35,0.0,R7433895940,Individual,Upper West,15642.53,34683.95,1,0
278,T221555,UTILITY_PAYMENT,USSD,Android,Vodafone,Morning,Tuesday,49534.23,C5266674262,Agent,Greater Accra,97424.24,47890.01,R3631989114,Individual,Volta,40454.65,89988.88,0,0
219,T265777,CASH_OUT,USSD,FeaturePhone,Vodafone,Night,Saturday,34921.76,C1723880927,Agent,Upper East,1092.98,0.0,R4479534060,Agent,Northern,37402.25,72324.01000000001,1,1
685,T994787,TRANSFER,App,Android,Vodafone,Night,Sunday,94684.0,C3075362821,Individual,Upper East,2631.27,0.0,R6313758032,Merchant,Northern,25645.12,120329.12,1,1
701,T668149,TRANSFER,API,Android,MTN,Night,Sunday,51734.91,C8968364599,Individual,Northern,1393.02,0.0,R3162040254,Agent,Upper East,47695.18,99430.09,1,1
83,T571272,CASH_IN,USSD,iOS,Vodafone,Afternoon,Monday,79067.65,C2600194198,Merchant,Western,84508.26,5440.610000000001,R1433689712,Individual,Upper West,21729.84,100797.48999999999,0,0
263,T935981,CASH_OUT,Agent,iOS,MTN,Night,Wednesday,81838.19,C9742656117,Agent,Upper West,2326.56,0.0,R5878025845,Merchant,Central,38083.81,119922.0,1,1
647,T651403,CASH_OUT,USSD,iOS,Vodafone,Night,Wednesday,13089.7,C8082107065,Government,Upper West,2920.11,0.0,R5543253241,Government,Ashanti,23188.77,36278.47,1,0
270,T958310,TRANSFER,Agent,FeaturePhone,AirtelTigo,Morning,Monday,85776.99,C5168100987,Government,Western,66709.38,0.0,R8905881355,Merchant,Upper East,34381.21,120158.20000000001,0,0
586,T622937,CASH_OUT,App,iOS,MTN,Night,Saturday,81838.29,C1990305666,Government,Central,1235.49,0.0,R2421289722,Individual,Volta,2884.66,84722.95,1,1
31,T705103,TRANSFER,API,FeaturePhone,MTN,Night,Thursday,22439.25,C9576178517,Agent,Greater Accra,2521.47,0.0,R3192968846,Merchant,Western,3358.25,25797.5,1,1
582,T927683,TRANSFER,App,iOS,AirtelTigo,Evening,Saturday,16958.22,C9250556958,Individual,Eastern,90131.54,73173.31999999999,R5398379280,Merchant,Greater Accra,27107.62,44065.84,0,0
510,T648236,CASH_OUT,App,Android,MTN,Night,Monday,32779.09,C1442597118,Agent,Volta,1134.5,0.0,R2557137740,Government,Central,1051.2,33830.28999999999,1,1
726,T864607,TRANSFER,USSD,Android,AirtelTigo,Night,Saturday,64664.81,C4541853179,Individual,Ashanti,2690.34,0.0,R3551496716,Individual,Eastern,26386.22,91051.03,1,1
725,T320638,TRANSFER,Agent,Android,MTN,Night,Sunday,38893.05,C3146904864,Individual,Upper East,2429.2,0.0,R1494651996,Individual,Ashanti,32135.77,71028.82,1,1
377,T177312,CASH_OUT,Agent,FeaturePhone,Vodafone,Night,Friday,48366.3,C2537111540,Agent,Upper West,2880.06,0.0,R3382382306,Agent,Upper East,12645.95,61012.25,1,1
329,T214488,CASH_OUT,USSD,iOS,MTN,Night,Sunday,33759.25,C3925562184,Merchant,Northern,282.42,0.0,R3776030024,Government,Northern,8749.42,42508.67,1,1
218,T896678,CASH_OUT,App,iOS,MTN,Night,Wednesday,7952.9,C8210499145,Individual,Central,2198.18,0.0,R1873191606,Merchant,Upper West,420.78,8373.68,1,0
687,T471942,CASH_OUT,USSD,Android,AirtelTigo,Night,Sunday,14256.34,C8728010542,Agent,Central,807.92,0.0,R9658463073,Individual,Upper West,10568.19,24824.53,1,0
719,T821241,TRANSFER,App,FeaturePhone,Vodafone,Afternoon,Friday,34375.14,C3164660460,Individual,Northern,56894.2,22519.059999999998,R3476515630,Individual,Greater Accra,17232.37,51607.509999999995,0,0
259,T202708,REVERSAL,USSD,iOS,AirtelTigo,Evening,Wednesday,44889.34,C6352326431,Agent,Upper West,86025.41,41136.07000000001,R6679076361,Government,Upper West,25518.02,70407.36,0,0
235,T537030,CASH_OUT,Agent,iOS,MTN,Afternoon,Thursday,87714.83,C2115925314,Government,Western,97830.36,10115.529999999999,R6887457471,Merchant,Eastern,21203.52,108918.35,0,0
320,T983360,CASH_OUT,App,FeaturePhone,Vodafone,Night,Saturday,34154.85,C3715308155,Agent,Western,1413.34,0.0,R7486811182,Government,Upper West,15629.01,49783.86,1,1
338,T271339,CASH_OUT,Agent,Android,MTN,Night,Sunday,98305.99,C7280359794,Agent,Northern,524.86,0.0,R1240251661,Government,Greater Accra,12092.61,110398.6,1,1
57,T369311,CASH_OUT,Agent,FeaturePhone,Vodafone,Night,Thursday,72324.35,C2315949012,Merchant,Volta,2868.36,0.0,R2748319358,Government,Ashanti,38903.54,111227.89000000001,1,1
419,T558206,AIRTIME,USSD,FeaturePhone,MTN,Night,Monday,35117.77,C1675111155,Individual,Volta,10743.05,0.0,R5226550891,Individual,Greater Accra,34320.05,69437.82,0,0
40,T713172,TRANSFER,Agent,Android,Vodafone,Afternoon,Sunday,33797.07,C1450227500,Government,Western,21398.33,0.0,R3061748568,Agent,Upper West,9063.98,42861.05,0,0
62,T934762,CASH_OUT,USSD,FeaturePhone,Vodafone,Evening,Sunday,54327.23,C5464888540,Individual,Western,73647.56,19320.329999999994,R9621167550,Merchant,Eastern,23093.11,77420.34,0,0
37,T686252,TRANSFER,Agent,Android,AirtelTigo,Night,Monday,37652.17,C7678293431,Individual,Eastern,332.87,0.0,R8325043570,Government,Central,5011.41,42663.58,1,1
196,T237212,TRANSFER,Agent,FeaturePhone,AirtelTigo,Night,Wednesday,95959.94,C8654621945,Government,Western,2190.98,0.0,R3721004965,Individual,Central,4219.68,100179.62,1,1
574,T812163,TRANSFER,USSD,FeaturePhone,Vodafone,Afternoon,Friday,51265.1,C7768884003,Merchant,Central,88388.95,37123.85,R6951604843,Merchant,Upper West,16981.41,68246.51,0,0
655,T698711,AIRTIME,USSD,FeaturePhone,MTN,Evening,Sunday,54529.84,C8950438883,Individual,Volta,51089.75,0.0,R4171725272,Government,Western,48190.14,102719.98,0,0
211,T394040,CASH_IN,Agent,iOS,MTN,Evening,Monday,18332.58,C3747834523,Individual,Central,20747.9,2415.3199999999997,R6249701362,Merchant,Eastern,47192.57,65525.15,0,0
561,T582087,CASH_OUT,API,FeaturePhone,Vodafone,Night,Sunday,54501.95,C4956362540,Government,Upper East,1644.1,0.0,R8997701619,Merchant,Volta,7016.23,61518.17999999999,1,1
580,T144315,TRANSFER,USSD,iOS,MTN,Night,Sunday,85764.53,C3465172825,Government,Central,354.82,0.0,R1528353758,Agent,Ashanti,22534.65,108299.18,1,1
589,T404955,TRANSFER,API,iOS,MTN,Night,Monday,44746.42,C7546035453,Agent,Volta,2534.13,0.0,R5869588539,Merchant,Upper West,33535.15,78281.57,1,1
222,T186488,TRANSFER,API,FeaturePhone,MTN,Night,Tuesday,56237.34,C4992468962,Agent,Central,2731.33,0.0,R5660739440,Agent,Volta,4096.56,60333.899999999994,1,1
359,T397252,CASH_OUT,API,Android,MTN,Night,Tuesday,51903.32,C1925915326,Government,Ashanti,685.58,0.0,R3099352779,Individual,Upper West,12177.33,64080.65,1,1
263,T503052,UTILITY_PAYMENT,USSD,FeaturePhone,Vodafone,Afternoon,Wednesday,31166.2,C5982923649,Individual,Northern,58381.56,27215.359999999997,R4732091457,Individual,Greater Accra,48489.09,79655.29,0,0
639,T730275,TRANSFER,App,Android,MTN,Night,Friday,93789.54,C8620154699,Agent,Greater Accra,2084.51,0.0,R8767592581,Merchant,Upper West,42666.04,136455.58,1,1
82,T931655,CASH_OUT,App,FeaturePhone,Vodafone,Night,Sunday,9865.12,C5421237457,Individual,Upper West,47.77,0.0,R7437743422,Merchant,Western,14911.63,24776.75,1,0
560,T553762,CASH_OUT,API,iOS,AirtelTigo,Night,Sunday,51026.16,C3576214947,Merchant,Greater Accra,968.7,0.0,R2792360478,Agent,Greater Accra,11768.93,62795.090000000004,1,1
427,T927624,REVERSAL,App,Android,Vodafone,Evening,Sunday,48932.56,C6911012137,Individual,Western,1318.77,0.0,R3272154536,Individual,Northern,44879.45,93812.01,0,0
356,T291511,CASH_OUT,App,FeaturePhone,MTN,Night,Thursday,36541.42,C7233497275,Agent,Ashanti,2629.73,0.0,R1252538798,Agent,Central,24832.06,61373.479999999996,1,1
217,T694910,TRANSFER,App,FeaturePhone,Vodafone,Afternoon,Saturday,25451.92,C5018685171,Individual,Ashanti,8786.21,0.0,R8191429724,Agent,Ashanti,8418.71,33870.63,0,0
171,T178056,TRANSFER,USSD,iOS,Vodafone,Night,Thursday,75390.81,C4938464506,Agent,Western,253.42,0.0,R1845579519,Government,Volta,43270.85,118661.66,1,1
258,T446600,CASH_OUT,API,FeaturePhone,Vodafone,Night,Wednesday,82350.6,C9362395521,Agent,Upper West,2082.91,0.0,R6679981310,Agent,Northern,29260.53,111611.13,1,1
123,T985774,REVERSAL,API,FeaturePhone,AirtelTigo,Evening,Tuesday,38406.45,C2868840057,Agent,Upper West,89182.6,50776.15000000001,R7333576356,Individual,Upper East,10086.87,48493.32,0,0
619,T168729,CASH_OUT,API,Android,Vodafone,Night,Friday,54488.61,C8183601465,Individual,Northern,23377.43,0.0,R4839565205,Merchant,Ashanti,35832.81,90321.42,0,0
547,T238661,CASH_OUT,API,iOS,AirtelTigo,Night,Monday,89559.35,C3403293589,Agent,Volta,2075.79,0.0,R3493172294,Government,Upper East,32263.4,121822.75,1,1
